type,matrix,epsilon,l,m,r
f64,3x3,-10,50062,0,49938
f64,3x3,-12,50062,0,49938
f64,3x3,-14,50062,0,49938
f64,3x3,0,50062,0,49938
f64,3x3_lib,-10,50062,0,49938
f64,3x3_lib,-12,50062,0,49938
f64,3x3_lib,-14,50062,0,49938
f64,3x3_lib,0,50062,0,49938
f64,2x2,-10,50062,0,49938
f64,2x2,-12,50062,0,49938
f64,2x2,-14,50062,0,49938
f64,2x2,0,50062,0,49938
f64,2x2_lib,-10,50063,0,49937
f64,2x2_lib,-12,50063,0,49937
f64,2x2_lib,-14,50063,0,49937
f64,2x2_lib,0,50063,0,49937
f32,3x3,-10,50062,0,49938
f32,3x3,-12,50062,0,49938
f32,3x3,-14,50062,0,49938
f32,3x3,0,50062,0,49938
f32,3x3_lib,-10,50062,0,49938
f32,3x3_lib,-12,50062,0,49938
f32,3x3_lib,-14,50062,0,49938
f32,3x3_lib,0,50062,0,49938
f32,2x2,-10,50062,0,49938
f32,2x2,-12,50062,0,49938
f32,2x2,-14,50062,0,49938
f32,2x2,0,50062,0,49938
f32,2x2_lib,-10,6673,86770,6557
f32,2x2_lib,-12,6673,86770,6557
f32,2x2_lib,-14,6673,86770,6557
f32,2x2_lib,0,6673,86770,6557
