type,matrix,epsilon,l,m,r
f64,3x3,-10,50060,0,49940
f64,3x3,-12,50060,0,49940
f64,3x3,-14,50060,0,49940
f64,3x3,0,50060,0,49940
f64,3x3_lib,-10,50060,0,49940
f64,3x3_lib,-12,50060,0,49940
f64,3x3_lib,-14,50060,0,49940
f64,3x3_lib,0,50060,0,49940
f64,2x2,-10,50060,0,49940
f64,2x2,-12,50060,0,49940
f64,2x2,-14,50060,0,49940
f64,2x2,0,50060,0,49940
f64,2x2_lib,-10,50060,0,49940
f64,2x2_lib,-12,50060,0,49940
f64,2x2_lib,-14,50060,0,49940
f64,2x2_lib,0,50060,0,49940
f32,3x3,-10,50060,0,49940
f32,3x3,-12,50060,0,49940
f32,3x3,-14,50060,0,49940
f32,3x3,0,50060,0,49940
f32,3x3_lib,-10,50060,0,49940
f32,3x3_lib,-12,50060,0,49940
f32,3x3_lib,-14,50060,0,49940
f32,3x3_lib,0,50060,0,49940
f32,2x2,-10,50060,0,49940
f32,2x2,-12,50060,0,49940
f32,2x2,-14,50060,0,49940
f32,2x2,0,50060,0,49940
f32,2x2_lib,-10,50060,0,49940
f32,2x2_lib,-12,50060,0,49940
f32,2x2_lib,-14,50060,0,49940
f32,2x2_lib,0,50060,0,49940
