type,matrix,epsilon,l,m,r
f64,3x3,-10,510,0,490
f64,3x3,-12,510,0,490
f64,3x3,-14,510,0,490
f64,3x3,0,510,0,490
f64,3x3_lib,-10,510,0,490
f64,3x3_lib,-12,510,0,490
f64,3x3_lib,-14,510,0,490
f64,3x3_lib,0,510,0,490
f64,2x2,-10,510,0,490
f64,2x2,-12,510,0,490
f64,2x2,-14,510,0,490
f64,2x2,0,510,0,490
f64,2x2_lib,-10,510,0,490
f64,2x2_lib,-12,510,0,490
f64,2x2_lib,-14,510,0,490
f64,2x2_lib,0,510,0,490
f32,3x3,-10,510,0,490
f32,3x3,-12,510,0,490
f32,3x3,-14,510,0,490
f32,3x3,0,510,0,490
f32,3x3_lib,-10,510,0,490
f32,3x3_lib,-12,510,0,490
f32,3x3_lib,-14,510,0,490
f32,3x3_lib,0,510,0,490
f32,2x2,-10,510,0,490
f32,2x2,-12,510,0,490
f32,2x2,-14,510,0,490
f32,2x2,0,510,0,490
f32,2x2_lib,-10,510,0,490
f32,2x2_lib,-12,510,0,490
f32,2x2_lib,-14,510,0,490
f32,2x2_lib,0,510,0,490
