type,matrix,epsilon,l,m,r
f64,3x3,-10,0,1000,0
f64,3x3,-12,0,1000,0
f64,3x3,-14,0,1000,0
f64,3x3,0,179,440,381
f64,3x3_lib,-10,0,1000,0
f64,3x3_lib,-12,0,1000,0
f64,3x3_lib,-14,13,886,101
f64,3x3_lib,0,487,0,513
f64,2x2,-10,0,1000,0
f64,2x2,-12,0,1000,0
f64,2x2,-14,0,798,202
f64,2x2,0,124,575,301
f64,2x2_lib,-10,0,1000,0
f64,2x2_lib,-12,170,675,155
f64,2x2_lib,-14,479,86,435
f64,2x2_lib,0,523,0,477
f32,3x3,-10,312,375,313
f32,3x3,-12,312,375,313
f32,3x3,-14,312,375,313
f32,3x3,0,312,375,313
f32,3x3_lib,-10,415,178,407
f32,3x3_lib,-12,415,178,407
f32,3x3_lib,-14,424,160,416
f32,3x3_lib,0,502,0,498
f32,2x2,-10,212,602,186
f32,2x2,-12,212,602,186
f32,2x2,-14,212,602,186
f32,2x2,0,212,602,186
f32,2x2_lib,-10,506,0,494
f32,2x2_lib,-12,506,0,494
f32,2x2_lib,-14,506,0,494
f32,2x2_lib,0,506,0,494
